69,6.09,Tevin Coleman,RB,ATL,10,68.6,7.5,4.11,8.1,624,
70,6.1,Doug Martin,RB,TB,6,69.7,7.9,4.09,8.11,651,
71,6.1,Victor Cruz,WR,NYG,11,70.3,7.6,3.12,8.12,624,
72,6.11,Allen Robinson,WR,JAC,8,71.1,7.5,4.12,9.05,586,
73,6.11,Cam Newton,QB,CAR,5,71.4,9.4,3.03,9.05,567,
74,7.01,Vincent Jackson,WR,TB,6,73.4,7.4,4.02,8.09,583,
75,7.02,Matt Ryan,QB,ATL,10,73.8,9,4.07,9.03,592,
76,7.02,Martellus Bennett,TE,CHI,7,74.2,8.1,4.09,10.03,375,
77,7.04,Isaiah Crowell,RB,CLE,11,76.5,8.5,5.01,8.12,594,
78,7.05,Tony Romo,QB,DAL,6,76.7,9,3.06,9.1,603,
79,7.05,Nelson Agholor,WR,PHI,8,77.1,7.9,4.01,9.07,617,
80,7.07,Julius Thomas,TE,JAC,8,78.8,9.3,3.12,9.12,337,
81,7.07,Mike Wallace,WR,MIN,5,79.1,8.2,5.03,9.06,583,
82,7.09,Chris Ivory,RB,NYJ,5,80.7,8.2,4.1,9.05,645,
83,7.09,Shane Vereen,RB,NYG,11,81.4,8.7,4.01,9.07,550,
84,7.11,Tre Mason,RB,STL,6,83.3,8.9,4.07,9.09,568,
85,7.11,Charles Johnson,WR,MIN,5,83.3,8.2,4.12,9.09,583,
86,8.01,Tom Brady,QB,NE,4,84.7,10,4.1,10.04,538,
87,8.02,Kevin White,WR,CHI,7,86.4,8.8,5.03,9.12,469,
88,8.03,Darren McFadden,RB,DAL,6,86.9,9.1,5.04,9.11,328,
89,8.03,Zach Ertz,TE,PHI,8,87.1,9.3,5.07,11.03,341,
90,8.04,Roddy White,WR,ATL,10,87.7,8.9,4.12,10.01,495,
91,8.04,Owen Daniels,TE,DEN,7,87.8,11.1,4.1,11.05,345,
92,8.05,Matthew Stafford,QB,DET,9,89.2,9.7,5.05,10.05,510,
93,8.06,Michael Floyd,WR,ARI,9,90.3,9.2,6.02,10.07,520,
94,8.07,Ryan Mathews,RB,PHI,8,91,7.7,6.03,10.05,420,
95,8.1,Devonta Freeman,RB,ATL,10,93.6,8.9,5.02,11.06,461,
96,8.1,Steve Smith,WR,BAL,9,94.3,8.9,6.08,10.09,473,
97,8.1,Eli Manning,QB,NYG,11,94.3,10.6,1.01,10.09,576,
98,8.11,Seattle Defense,DEF,SEA,9,95.3,10.2,5.06,10.06,398,
99,8.12,Davante Adams,WR,GB,7,96.2,9.1,6.01,10.11,462,
100,9.01,Larry Fitzgerald,WR,ARI,9,96.8,10.3,5.02,11.03,471,
101,9.01,Duke Johnson,RB,CLE,11,97.2,9.1,5.05,11.02,304,
102,9.01,Jordan Cameron,TE,MIA,5,97.3,12.9,6.03,12.08,390,
103,9.04,David Cobb,RB,TEN,4,99.9,10.4,6.05,11.09,361,
104,9.05,John Brown,WR,ARI,9,100.9,8.9,6.1,10.12,501,
105,9.06,Bishop Sankey,RB,TEN,4,102.2,10.4,6.12,11.12,378,
106,9.07,Ryan Tannehill,QB,MIA,5,102.8,10.3,2.08,11.1,570,
107,9.08,Brandon LaFell,WR,NE,4,104.1,9.9,6.06,11.09,441,
108,9.1,Breshad Perriman,WR,BAL,9,105.6,9.1,7.01,11.06,403,
109,9.1,David Johnson,RB,ARI,9,105.8,9.3,6.08,12.07,379,
110,9.11,Houston Defense,DEF,HOU,9,106.5,8.9,2.11,11.05,298,
111,10.01,Philip Rivers,QB,SD,10,108.8,10.2,6.03,12.01,535,
112,10.01,Jason Witten,TE,DAL,6,108.8,15.5,6.08,13.12,424,
113,10.02,Pierre Garcon,WR,WAS,8,110.3,10,6.01,11.1,433,
114,10.02,Buffalo Defense,DEF,BUF,8,110.4,8.8,6.01,11.07,290,
115,10.03,Terrance Williams,WR,DAL,6,111.4,10.4,4.01,12.02,396,
116,10.03,Knile Davis,RB,KC,9,111.4,10.6,6.05,12.07,401,
117,10.05,Torrey Smith,WR,SF,10,113.3,11.5,5.01,12.03,392,
118,10.06,DeAngelo Williams,RB,PIT,11,113.8,12.4,7.01,13.03,366,
119,10.07,Reggie Bush,RB,SF,10,115,11.7,6.12,13.04,422,
120,10.08,Marques Colston,WR,NO,11,116.2,9.4,7.03,12.08,382,
121,10.1,NY Jets Defense,DEF,NYJ,5,118.1,13.6,1.02,12.09,212,
